Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality,CV Partner section ID,External unique ID,Updated,Updated by owner,Name,Description,Highlighted
Optimising PySpark,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_b89ca31a,b89ca31a,cv_b89ca31a,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,75f124a1,25658bf2,2024-08-29,2024-05-04,Optimising PySpark,Conference talk / blog summary.,True
Modern .NET APIs,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_b89ca31a,b89ca31a,cv_b89ca31a,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,f1c14f31,4f1e7f53,2024-08-11,2025-10-17,Modern .NET APIs,Conference talk / blog summary.,True
Kubernetes for Data,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_74b836a3,74b836a3,cv_74b836a3,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,4350c4d6,c24eacae,2025-05-02,2025-07-29,Kubernetes for Data,Conference talk / blog summary.,False
MLOps Playbook,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_74b836a3,74b836a3,cv_74b836a3,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,d0dc2d9f,3fe4b81c,2023-12-26,2025-11-13,MLOps Playbook,Conference talk / blog summary.,True
Intro to dbt,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_74b836a3,74b836a3,cv_74b836a3,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,ba8accd4,055d153e,2024-02-27,2025-10-17,Intro to dbt,Conference talk / blog summary.,True
AWS Well-Architected,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_70aaa8ab,70aaa8ab,cv_70aaa8ab,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,3301d8ad,bd0d10a2,2025-01-07,2025-08-15,AWS Well-Architected,Conference talk / blog summary.,False
Intro to dbt,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_70aaa8ab,70aaa8ab,cv_70aaa8ab,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,5c7a268f,8c65769b,2025-04-29,2024-05-20,Intro to dbt,Conference talk / blog summary.,True
AWS Well-Architected,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_70aaa8ab,70aaa8ab,cv_70aaa8ab,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,0c0812eb,45a234ce,2025-10-06,2025-09-13,AWS Well-Architected,Conference talk / blog summary.,False
Streaming 101,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_080ef439,080ef439,cv_080ef439,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,a7cfc128,7caa910b,2024-02-20,2025-11-08,Streaming 101,,True
AWS Well-Architected,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_080ef439,080ef439,cv_080ef439,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,4f7940dd,e9f93292,2024-12-09,2024-01-02,AWS Well-Architected,Conference talk / blog summary.,False
Modern .NET APIs,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_080ef439,080ef439,cv_080ef439,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,06cc2190,47ad557b,2024-04-14,2025-10-14,Modern .NET APIs,Conference talk / blog summary.,False
Intro to dbt,int:Robert Johnson,int:Associate ML Engineer,robert.johnson@mail.test,robertjohnson,ext_4253cf51,4253cf51,cv_4253cf51,465-245-2711x11615,001-688-651-6560,1995,AI/ML,Slovenia,Danish,53f11b2a,47b6aaf3,2024-06-25,2025-10-03,Intro to dbt,Conference talk / blog summary.,True
Optimising PySpark,int:Robert Johnson,int:Associate ML Engineer,robert.johnson@mail.test,robertjohnson,ext_4253cf51,4253cf51,cv_4253cf51,465-245-2711x11615,001-688-651-6560,1995,AI/ML,Slovenia,Danish,7420977e,d9539ff7,2025-07-21,2023-11-29,Optimising PySpark,Conference talk / blog summary.,False
Azure Fabric Basics,int:Robert Johnson,int:Associate ML Engineer,robert.johnson@mail.test,robertjohnson,ext_4253cf51,4253cf51,cv_4253cf51,465-245-2711x11615,001-688-651-6560,1995,AI/ML,Slovenia,Danish,dc49b250,a55b7744,2025-06-11,2025-09-22,Azure Fabric Basics,Conference talk / blog summary.,False
Azure Fabric Basics,int:Jeffery Wagner,int:Consultant Data Platform Engineer,jeffery.wagner@example.org,jefferywagner,ext_6b7c67d6,6b7c67d6,cv_6b7c67d6,(319)683-2731x585,001-636-289-9809,2000,Data Engineering,United Kingdom,Norwegian,1eed64c3,5e3008a8,2024-10-03,2025-03-13,Azure Fabric Basics,Conference talk / blog summary.,True
Optimising PySpark,int:Jeffery Wagner,int:Consultant Data Platform Engineer,jeffery.wagner@example.org,jefferywagner,ext_6b7c67d6,6b7c67d6,cv_6b7c67d6,(319)683-2731x585,001-636-289-9809,2000,Data Engineering,United Kingdom,Norwegian,c7acde5a,d267c565,2024-02-27,2024-10-09,Optimising PySpark,Conference talk / blog summary.,False
Azure Fabric Basics,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_1266d379,1266d379,cv_1266d379,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,d600f5c8,d1f7316c,2023-12-12,2024-01-29,Azure Fabric Basics,Conference talk / blog summary.,True
