Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality,CV Partner section ID,External unique ID,Updated,Updated by owner,Month,Year,Name,Organiser,Long description,Highlighted,Is official masterdata (in #{lang}),Attachments
Power BI,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_b89ca31a,b89ca31a,cv_b89ca31a,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,5e8b2a10,fbe65c05,2025-03-06,2023-12-01,11,2019,Power BI,AWS,Intensive 3-day workshop.,False,int:Yes,certificate.pdf
Databricks Lakehouse,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_b89ca31a,b89ca31a,cv_b89ca31a,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,7ac2cfdf,420bf84b,2025-03-13,2024-11-06,4,2020,Databricks Lakehouse,Microsoft,Intensive 3-day workshop.,True,int:No,certificate.pdf
Power BI,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_74b836a3,74b836a3,cv_74b836a3,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,8d3f9e68,1ed9deae,2025-10-10,2025-11-02,5,2022,Power BI,Udemy,,True,int:No,certificate.pdf
Databricks Lakehouse,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_74b836a3,74b836a3,cv_74b836a3,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,da515dfa,7fb16724,2025-09-08,2023-12-23,12,2018,Databricks Lakehouse,Internal,Intensive 3-day workshop.,False,int:No,certificate.pdf
Azure Fundamentals,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_70aaa8ab,70aaa8ab,cv_70aaa8ab,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,901cb8af,63d77d11,2024-06-30,2024-05-16,12,2020,Azure Fundamentals,Internal,Intensive 3-day workshop.,True,int:No,certificate.pdf
Databricks Lakehouse,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_70aaa8ab,70aaa8ab,cv_70aaa8ab,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,4b0c8399,276d34d3,2023-12-22,2024-05-20,10,2025,Databricks Lakehouse,Databricks,Intensive 3-day workshop.,True,int:No,certificate.pdf
SQL Advanced,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_70aaa8ab,70aaa8ab,cv_70aaa8ab,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,f62ad2bf,df021c7a,2024-06-03,2025-09-06,12,2021,SQL Advanced,Microsoft,Intensive 3-day workshop.,True,int:No,certificate.pdf
Power BI,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_70aaa8ab,70aaa8ab,cv_70aaa8ab,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,ada6959d,32c9561a,2025-08-26,2024-03-03,9,2021,Power BI,Databricks,Intensive 3-day workshop.,False,int:No,certificate.pdf
Azure Fundamentals,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_080ef439,080ef439,cv_080ef439,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,c317439c,afad8b41,2024-09-22,2023-12-11,5,2023,Azure Fundamentals,Databricks,Intensive 3-day workshop.,True,int:Yes,
Databricks Lakehouse,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_080ef439,080ef439,cv_080ef439,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,46289614,44b9164d,2024-07-28,2024-06-01,5,2024,Databricks Lakehouse,Databricks,Intensive 3-day workshop.,True,int:No,certificate.pdf
Azure Fundamentals,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_080ef439,080ef439,cv_080ef439,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,4b39c910,c64c9619,2025-11-10,2025-10-19,5,2020,Azure Fundamentals,AWS,Intensive 3-day workshop.,True,int:Yes,certificate.pdf
Azure Fundamentals,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_080ef439,080ef439,cv_080ef439,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,cfb1b217,d4688819,2025-08-13,2025-01-18,4,2025,Azure Fundamentals,Databricks,Intensive 3-day workshop.,True,int:Yes,certificate.pdf
Databricks Lakehouse,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_080ef439,080ef439,cv_080ef439,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,44bac6db,264bd19f,2024-01-12,2025-02-11,8,2020,Databricks Lakehouse,Udemy,Intensive 3-day workshop.,False,int:Yes,certificate.pdf
Databricks Lakehouse,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_080ef439,080ef439,cv_080ef439,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,15c1c070,75d494a0,2024-07-02,2025-04-03,7,2023,Databricks Lakehouse,Databricks,Intensive 3-day workshop.,True,int:No,certificate.pdf
SQL Advanced,int:Jeffery Wagner,int:Consultant Data Platform Engineer,jeffery.wagner@example.org,jefferywagner,ext_6b7c67d6,6b7c67d6,cv_6b7c67d6,(319)683-2731x585,001-636-289-9809,2000,Data Engineering,United Kingdom,Norwegian,df658ea4,cc7baa0c,2024-07-09,2025-06-30,3,2018,SQL Advanced,Coursera,Intensive 3-day workshop.,True,int:No,
SQL Advanced,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_1266d379,1266d379,cv_1266d379,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,0d3c1a36,80172542,2024-06-28,2024-01-20,3,2022,SQL Advanced,Udemy,Intensive 3-day workshop.,True,int:Yes,certificate.pdf
AWS Solutions Architect,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_8eaaedc9,8eaaedc9,cv_8eaaedc9,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,8235529c,a91f2d23,2025-11-07,2024-02-26,9,2022,AWS Solutions Architect,Coursera,Intensive 3-day workshop.,True,int:Yes,certificate.pdf
Azure Fundamentals,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_8eaaedc9,8eaaedc9,cv_8eaaedc9,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,7f4abbbf,93d00ca5,2024-02-14,2024-03-27,1,2025,Azure Fundamentals,Udemy,Intensive 3-day workshop.,True,int:Yes,certificate.pdf
SQL Advanced,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_8eaaedc9,8eaaedc9,cv_8eaaedc9,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,1192e61a,8c67e1fd,2023-12-21,2024-03-21,5,2022,SQL Advanced,Udemy,,False,int:Yes,certificate.pdf
