Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality,CV Partner section ID,External unique ID,Updated,Updated by owner,Month from,Year from,Month to,Year to,Highlighted,Attachments,Place of study,Degree,Description
Danielle Johnson,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,cv_0d6f2ab3,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,b60c2a78,bd068743,2022-05-01,2022-10-20,4,2008,1,2010,True,diploma.pdf,UiO,MSc Data Science,Thesis on scalable data pipelines.
Danielle Johnson,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,cv_0d6f2ab3,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,55823bc4,7617ff38,2023-04-22,2024-04-05,4,2022,1,2022,False,diploma.pdf,UCL,BEng Software Eng,Thesis on scalable data pipelines.
Danielle Johnson,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,cv_0d6f2ab3,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,c798609d,8bcc27d8,2024-11-10,2025-09-17,11,2019,3,2019,False,diploma.pdf,UCL,MSc Data Science,
Jill Rhodes,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_418230c4,418230c4,cv_418230c4,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,c252ffc1,afbd897a,2023-10-06,2022-07-12,9,2013,2,2013,False,diploma.pdf,UiO,BSc Computer Science,Thesis on scalable data pipelines.
Jill Rhodes,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_418230c4,418230c4,cv_418230c4,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,473dba55,d5b6b29e,2023-08-23,2024-05-21,8,2019,5,2024,True,diploma.pdf,OU,MSc Data Science,Thesis on scalable data pipelines.
Robert Johnson,int:Robert Johnson,int:Associate ML Engineer,robert.johnson@mail.test,robertjohnson,ext_f4ac20e3,f4ac20e3,cv_f4ac20e3,465-245-2711x11615,001-688-651-6560,1995,AI/ML,Slovenia,Danish,d6da96a0,95fbed77,2024-04-08,2022-11-28,2,2020,7,2021,False,diploma.pdf,KTH,MSc Data Science,Thesis on scalable data pipelines.
Robert Johnson,int:Robert Johnson,int:Associate ML Engineer,robert.johnson@mail.test,robertjohnson,ext_f4ac20e3,f4ac20e3,cv_f4ac20e3,465-245-2711x11615,001-688-651-6560,1995,AI/ML,Slovenia,Danish,f2b88428,7dc5ce6e,2023-05-25,2024-03-07,4,2011,9,2011,False,,UiO,MSc Data Science,Thesis on scalable data pipelines.
Robert Johnson,int:Robert Johnson,int:Associate ML Engineer,robert.johnson@mail.test,robertjohnson,ext_f4ac20e3,f4ac20e3,cv_f4ac20e3,465-245-2711x11615,001-688-651-6560,1995,AI/ML,Slovenia,Danish,f360693b,f1f6ab9e,2025-07-23,2025-08-25,1,2020,3,2024,False,diploma.pdf,NTNU,MSc Data Science,Thesis on scalable data pipelines.
Anthony Gonzalez,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_16c07588,16c07588,cv_16c07588,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,4bc3be3f,08e8693e,2025-07-04,2024-03-30,9,2020,10,2022,False,diploma.pdf,UiO,BEng Software Eng,
Anthony Gonzalez,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_16c07588,16c07588,cv_16c07588,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,7b9c93b6,e573325f,2024-05-03,2022-08-27,2,2008,8,2013,True,diploma.pdf,KTH,MSc Data Science,Thesis on scalable data pipelines.
