Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality,CV Partner section ID,External unique ID,Updated,Updated by owner,Year from,Year to,Highlighted,Name,Description
Consultant C# Developer,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_b89ca31a,b89ca31a,cv_b89ca31a,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,ff5816ec,854db993,2025-11-12,2025-05-20,2021,2022,True,Consultant C# Developer,Progression based on delivery impact.
Senior C# Developer,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_b89ca31a,b89ca31a,cv_b89ca31a,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,12596bb3,0c634b76,2025-01-04,2025-01-04,2022,2023,True,Senior C# Developer,Progression based on delivery impact.
Principal C# Developer,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_b89ca31a,b89ca31a,cv_b89ca31a,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,86410e43,52c01a6c,2024-04-05,2024-03-10,2023,2024,True,Principal C# Developer,Progression based on delivery impact.
Consultant Data Engineer,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_74b836a3,74b836a3,cv_74b836a3,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,25d2ed16,0e91c7b1,2025-07-12,2025-01-25,2019,2020,False,Consultant Data Engineer,
Senior Data Engineer,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_74b836a3,74b836a3,cv_74b836a3,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,c9f198c4,29fe1534,2025-02-16,2024-06-25,2020,2021,True,Senior Data Engineer,Progression based on delivery impact.
Principal Data Engineer,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_74b836a3,74b836a3,cv_74b836a3,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,583fc413,bc89f39a,2025-07-01,2025-05-21,2021,2022,False,Principal Data Engineer,Progression based on delivery impact.
Associate C# Developer,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_70aaa8ab,70aaa8ab,cv_70aaa8ab,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,d16db359,350bd1c7,2024-02-11,2025-11-02,2017,2018,False,Associate C# Developer,Progression based on delivery impact.
Consultant C# Developer,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_70aaa8ab,70aaa8ab,cv_70aaa8ab,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,f168dd61,3ef3567d,2024-03-19,2023-11-20,2018,2019,True,Consultant C# Developer,Progression based on delivery impact.
Senior C# Developer,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_70aaa8ab,70aaa8ab,cv_70aaa8ab,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,4d5d6b7d,4a444316,2025-08-12,2024-11-06,2019,2020,True,Senior C# Developer,Progression based on delivery impact.
Consultant Analytics Engineer,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_080ef439,080ef439,cv_080ef439,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,c6b9bd1a,6df60c57,2024-01-16,2024-03-21,2018,2019,False,Consultant Analytics Engineer,Progression based on delivery impact.
Senior Analytics Engineer,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_080ef439,080ef439,cv_080ef439,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,13bfbca4,bc3f4e54,2025-08-12,2025-03-11,2019,2020,False,Senior Analytics Engineer,Progression based on delivery impact.
Principal Analytics Engineer,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_080ef439,080ef439,cv_080ef439,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,2cabff49,cd3bd60f,2024-01-18,2025-09-05,2020,2021,False,Principal Analytics Engineer,Progression based on delivery impact.
Associate ML Engineer,int:Robert Johnson,int:Associate ML Engineer,robert.johnson@mail.test,robertjohnson,ext_4253cf51,4253cf51,cv_4253cf51,465-245-2711x11615,001-688-651-6560,1995,AI/ML,Slovenia,Danish,6084e201,42e64a83,2025-01-31,2024-05-31,2017,2018,False,Associate ML Engineer,Progression based on delivery impact.
Associate Data Platform Engineer,int:Jeffery Wagner,int:Consultant Data Platform Engineer,jeffery.wagner@example.org,jefferywagner,ext_6b7c67d6,6b7c67d6,cv_6b7c67d6,(319)683-2731x585,001-636-289-9809,2000,Data Engineering,United Kingdom,Norwegian,bb18f5a0,48a57db8,2024-04-24,2024-12-31,2020,2021,False,Associate Data Platform Engineer,Progression based on delivery impact.
Consultant Data Platform Engineer,int:Jeffery Wagner,int:Consultant Data Platform Engineer,jeffery.wagner@example.org,jefferywagner,ext_6b7c67d6,6b7c67d6,cv_6b7c67d6,(319)683-2731x585,001-636-289-9809,2000,Data Engineering,United Kingdom,Norwegian,03839efc,93661d3a,2024-03-15,2025-02-04,2021,2022,True,Consultant Data Platform Engineer,Progression based on delivery impact.
Consultant Azure Engineer,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_1266d379,1266d379,cv_1266d379,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,5d237d69,40b808c5,2025-08-16,2024-09-27,2016,2017,True,Consultant Azure Engineer,Progression based on delivery impact.
Senior Azure Engineer,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_1266d379,1266d379,cv_1266d379,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,addcdfe0,7ffa9d43,2024-03-27,2024-04-07,2017,2018,True,Senior Azure Engineer,Progression based on delivery impact.
Principal Azure Engineer,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_1266d379,1266d379,cv_1266d379,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,aed6bd7a,35dcace2,2025-10-09,2025-10-11,2018,2019,False,Principal Azure Engineer,Progression based on delivery impact.
Associate AI Engineer,int:Debra Gardner,int:Senior AI Engineer,debra.gardner@mail.test,debragardner,ext_f81d901a,f81d901a,cv_f81d901a,859-991-0229x0147,+1-976-643-8156x149,1996,AI/ML,Australia,British,f2c9db2a,66d80131,2024-05-16,2025-08-18,2021,2022,False,Associate AI Engineer,Progression based on delivery impact.
