Email,UPN,External User ID,CV Partner User ID,Clearance,Valid From,Valid To,Verified By,Notes
danielle.johnson@mail.test,daniellejohnson,ext_b89ca31a,b89ca31a,None,,,PMO,Imported from legacy sheet
joshua.walker@mail.test,joshuawalker,ext_74b836a3,74b836a3,None,,,Security,Imported from legacy sheet
jill.rhodes@example.org,jillrhodes,ext_70aaa8ab,70aaa8ab,None,,,Security,Imported from legacy sheet
patricia.miller@mail.test,patriciamiller,ext_080ef439,080ef439,SC,2023-03-05,,HR,Imported from legacy sheet
robert.johnson@mail.test,robertjohnson,ext_4253cf51,4253cf51,SC,2023-11-13,,PMO,Imported from legacy sheet
jeffery.wagner@example.org,jefferywagner,ext_6b7c67d6,6b7c67d6,SC,2024-07-03,,Security,Imported from legacy sheet
anthony.gonzalez@example.org,anthonygonzalez,ext_1266d379,1266d379,None,,,Security,Imported from legacy sheet
debra.gardner@mail.test,debragardner,ext_f81d901a,f81d901a,None,,,PMO,Imported from legacy sheet
jeffrey.lawrence@example.org,jeffreylawrence,ext_27b5fdea,27b5fdea,None,,,HR,Imported from legacy sheet
lisa.smith@example.org,lisasmith,ext_8eaaedc9,8eaaedc9,None,,,PMO,Imported from legacy sheet
linda.wolfe@example.com,lindawolfe,ext_be73b7c6,be73b7c6,NPPV2,2024-05-24,,Security,Imported from legacy sheet
matthew.moore@example.org,matthewmoore,ext_438b7d62,438b7d62,None,,,Security,Imported from legacy sheet
susan.rogers@example.org,susanrogers,ext_a01c407b,a01c407b,None,,,Security,Imported from legacy sheet
christopher.davis@example.com,christopherdavis,ext_e8d99f80,e8d99f80,SC,2024-08-29,,Security,Imported from legacy sheet
melanie.munoz@example.org,melaniemunoz,ext_44676ca2,44676ca2,None,,,HR,Imported from legacy sheet
lindsay.blair@example.com,lindsayblair,ext_e899c10b,e899c10b,NPPV2,2025-05-08,,PMO,Imported from legacy sheet
amanda.dudley@mail.test,amandadudley,ext_f1fd400b,f1fd400b,None,,,Security,Imported from legacy sheet
nicholas.arnold@mail.test,nicholasarnold,ext_0a463344,0a463344,NPPV2,2024-05-09,,PMO,Imported from legacy sheet
maria.montgomery@example.org,mariamontgomery,ext_390cea4f,390cea4f,None,,,HR,Imported from legacy sheet
michelle.ray@example.org,michelleray,ext_7f1a4c90,7f1a4c90,SC,2025-09-27,,Security,Imported from legacy sheet
janet.williams@example.com,janetwilliams,ext_2ca45ebf,2ca45ebf,None,,,HR,Imported from legacy sheet
jeremy.roberts@mail.test,jeremyroberts,ext_06c54c32,06c54c32,None,,,PMO,Imported from legacy sheet
christopher.hall@example.com,christopherhall,ext_45be8128,45be8128,None,,,Security,Imported from legacy sheet
craig.ramirez@mail.test,craigramirez,ext_13fc2325,13fc2325,NPPV2,2024-03-03,,HR,Imported from legacy sheet
cynthia.diaz@mail.test,cynthiadiaz,ext_b2ae8058,b2ae8058,SC,2023-08-17,,PMO,Imported from legacy sheet
mitchell.clark@example.org,mitchellclark,ext_692d1d52,692d1d52,None,,,HR,Imported from legacy sheet
joseph.zuniga@example.com,josephzuniga,ext_f71e85f3,f71e85f3,None,,,Security,Imported from legacy sheet
deborah.lynch@mail.test,deborahlynch,ext_b0ec21df,b0ec21df,None,,,PMO,
george.daniel@example.org,georgedaniel,ext_2c5c68bf,2c5c68bf,None,,,Security,Imported from legacy sheet
frank.gray@example.com,frankgray,ext_6e16f1c6,6e16f1c6,None,,,HR,Imported from legacy sheet
veronica.bowman@example.org,veronicabowman,ext_636ccae7,636ccae7,SC,2023-08-07,,PMO,Imported from legacy sheet
angela.cohen@example.org,angelacohen,ext_61b03405,61b03405,None,,,Security,Imported from legacy sheet
megan.parsons@mail.test,meganparsons,ext_fe88a406,fe88a406,SC,2024-09-21,,PMO,Imported from legacy sheet
jeremy.johnson@example.com,jeremyjohnson,ext_6cdae182,6cdae182,None,,,Security,Imported from legacy sheet
leslie.adams@mail.test,leslieadams,ext_143dca3e,143dca3e,None,,,Security,Imported from legacy sheet
jason.hahn@mail.test,jasonhahn,ext_992997f5,992997f5,None,,,HR,Imported from legacy sheet
nancy.edwards@mail.test,nancyedwards,ext_54ed0564,54ed0564,SC,2025-10-04,,Security,
diana.foster@example.org,dianafoster,ext_ec7e3055,ec7e3055,None,,,HR,Imported from legacy sheet
robin.ellis@example.org,robinellis,ext_1a4c11c8,1a4c11c8,None,,,HR,Imported from legacy sheet
joseph.wright@example.org,josephwright,ext_b8e03253,b8e03253,None,,,HR,Imported from legacy sheet
anna.baker@mail.test,annabaker,ext_79baca9f,79baca9f,None,,,Security,Imported from legacy sheet
brenda.hurst@example.com,brendahurst,ext_384d8e97,384d8e97,None,,,HR,Imported from legacy sheet
reginald.robinson@mail.test,reginaldrobinson,ext_0ff44ec9,0ff44ec9,SC,2024-11-17,,HR,Imported from legacy sheet
whitney.hicks@mail.test,whitneyhicks,ext_e7dbd6c8,e7dbd6c8,None,,,HR,Imported from legacy sheet
christopher.williams@mail.test,christopherwilliams,ext_d8cf061f,d8cf061f,None,,,Security,Imported from legacy sheet
daniel.burton@example.com,danielburton,ext_9bfd4faf,9bfd4faf,None,,,Security,Imported from legacy sheet
laura.henderson@example.com,laurahenderson,ext_f6441858,f6441858,NPPV2,2023-07-08,,Security,Imported from legacy sheet
bryan.james@mail.test,bryanjames,ext_a3a915eb,a3a915eb,SC,2024-04-20,,Security,Imported from legacy sheet
wendy.rice@mail.test,wendyrice,ext_0fc5c8f6,0fc5c8f6,None,,,Security,Imported from legacy sheet
tasha.valencia@example.org,tashavalencia,ext_2b11a8a4,2b11a8a4,None,,,Security,
alexander.le@mail.test,alexanderle,ext_fc3899fa,fc3899fa,None,,,Security,Imported from legacy sheet
erin.herrera@mail.test,erinherrera,ext_f76e0788,f76e0788,NPPV2,2024-03-05,,Security,Imported from legacy sheet
joseph.davidson@example.org,josephdavidson,ext_1afc8c3f,1afc8c3f,NPPV2,2025-03-24,,HR,Imported from legacy sheet
daniel.graham@example.com,danielgraham,ext_2cc8625f,2cc8625f,None,,,Security,Imported from legacy sheet
shawn.mckay@example.org,shawnmckay,ext_0e2de979,0e2de979,None,,,Security,Imported from legacy sheet
nancy.baker@example.org,nancybaker,ext_b0a8bb26,b0a8bb26,None,,,Security,Imported from legacy sheet
vincent.white@mail.test,vincentwhite,ext_db3a4874,db3a4874,None,,,HR,Imported from legacy sheet
rita.harrell@mail.test,ritaharrell,ext_097033e9,097033e9,SC,2023-04-14,,PMO,Imported from legacy sheet
kenneth.fowler@example.com,kennethfowler,ext_e8c08f5e,e8c08f5e,None,,,PMO,Imported from legacy sheet
chelsea.hernandez@example.org,chelseahernandez,ext_d966a5f9,d966a5f9,SC,2023-09-30,,PMO,Imported from legacy sheet
kathryn.ryan@mail.test,kathrynryan,ext_e4e31691,e4e31691,None,,,HR,Imported from legacy sheet
kimberly.moreno@mail.test,kimberlymoreno,ext_0ba33804,0ba33804,SC,2025-08-11,,HR,Imported from legacy sheet
aaron.nguyen@mail.test,aaronnguyen,ext_bf46b51a,bf46b51a,None,,,Security,
andrew.hickman@example.org,andrewhickman,ext_e2a995ca,e2a995ca,SC,2024-11-23,,HR,Imported from legacy sheet
natasha.decker@example.com,natashadecker,ext_e4778aa2,e4778aa2,None,,,Security,Imported from legacy sheet
kyle.brown@mail.test,kylebrown,ext_84ffd609,84ffd609,None,,,PMO,Imported from legacy sheet
natalie.arroyo@example.org,nataliearroyo,ext_17584b4d,17584b4d,SC,2025-02-03,,HR,Imported from legacy sheet
christopher.tucker@example.org,christophertucker,ext_9d8a1f51,9d8a1f51,None,,,Security,Imported from legacy sheet
chad.hodges@example.org,chadhodges,ext_47d634c6,47d634c6,None,,,HR,Imported from legacy sheet
katie.anderson@example.com,katieanderson,ext_87e530f7,87e530f7,None,,,PMO,Imported from legacy sheet
